CO_ESCOLA,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,SG_UF_ESC,MED,rank,NO_ESCOLA
43109136,4314902,PORTO ALEGRE,RS,792.78,1,ESCOLA PANAMERICANA EDUC BASICA
23246871,2304400,FORTALEZA,CE,752.04,2,ARI DE SA CAVALCANTE SEDE MARIO MAMEDE COLEGIO
52096785,5208707,GOIANIA,GO,748.61,3,COLEGIO OLIMPO INTEGRAL
23246847,2304400,FORTALEZA,CE,747.57,4,FARIAS BRITO COLEGIO DE APLICACAO
35445332,3550308,SAO PAULO,SP,746.82,5,ST FRANCIS COLLEGE UNIDADE I
50032100,5002704,CAMPO GRANDE,MS,744.56,6,COLEGIO BIONATUS II
31350664,3106200,BELO HORIZONTE,MG,742.45,7,COLEGIO BERNOULLI
33062633,3304557,RIO DE JANEIRO,RJ,741.16,8,COL DE SAO BENTO
23235543,2304400,FORTALEZA,CE,735.87,9,ARI DE SA CAVALCANTE COLEGIO - MAJOR FACUNDO
35399197,3550308,SAO PAULO,SP,732.06,10,OBJETIVO COLEGIO INTEGRADO
23246880,2304400,FORTALEZA,CE,731.76,11,CHRISTUS COLEGIO PRE UNIVERSITARIO
31311723,3106200,BELO HORIZONTE,MG,731.06,12,COLEGIO BERNOULLI - UNIDADE GONCALVES DIAS
99003147,3205309,VITORIA,ES,730.22,13,NA
31349720,3131307,IPATINGA,MG,726.45,14,FIBONACCI COLEGIO
31004812,3106200,BELO HORIZONTE,MG,725.23,15,COLEGIO SANTO ANTONIO
31351725,3106200,BELO HORIZONTE,MG,723.06,16,COLEGUIUM
31004651,3106200,BELO HORIZONTE,MG,721.08,17,COLEGIO SANTO AGOSTINHO
35165347,3550308,SAO PAULO,SP,717.34,18,MOBILE COLEGIO
31128074,3171303,VICOSA,MG,717.19,19,COL DE APLICACAO DA UFV - COLUNI
33158240,3304557,RIO DE JANEIRO,RJ,717.1,20,COLEGIO PH
22022406,2211001,TERESINA,PI,715.38,21,COLEGIO LEROTE LTDA
33065403,3304557,RIO DE JANEIRO,RJ,715.13,22,COLEGIO SANTO AGOSTINHO
35179899,3548708,SAO BERNARDO DO CAMPO,SP,714.62,23,ESCOLA DE EDUCACAO INFANTIL SALVADOR ARENA
35126974,3530607,MOGI DAS CRUZES,SP,714.51,24,OBJETIVO INTEGRADO DE MOGI DAS CRUZES COLEGIO
33062609,3304557,RIO DE JANEIRO,RJ,713.66,25,COLEGIO CRUZEIRO-CENTRO
35103536,3550308,SAO PAULO,SP,713.56,26,IAVNE COLEGIO EFM
35141240,3550308,SAO PAULO,SP,712.67,27,VERTICE COLEGIO UNIDADE II
31004731,3106200,BELO HORIZONTE,MG,712.45,28,COLEGIO MAGNUM AGOSTINIANO - NOVA FLORESTA
22025740,2211001,TERESINA,PI,711.66,29,INSTITUTO DOM BARRETO
26124297,2611606,RECIFE,PE,709.36,30,COLEGIO DE APLICACAO DO CE DA UFPE
33087679,3304557,RIO DE JANEIRO,RJ,709.06,31,COLEGIO SANTO AGOSTINHO - NL
23564121,2304400,FORTALEZA,CE,709.05,32,ANTARES COLEGIO PRE VESTIBULAR
26118165,2611606,RECIFE,PE,708.78,33,COLEGIO EQUIPE
