CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,SG_UF_ESC,MED,rank
3126000,Florestal,MG,581.84,1
4323606,Vista Alegre do Prata,RS,576.89,2
3556206,Valinhos,SP,576.5,3
3171303,Viçosa,MG,575.95,4
4315800,Roca Sales,RS,575.25,5
3303302,Niterói,RJ,572.19,6
2202729,Cocal dos Alves,PI,566.01,7
3105608,Barbacena,MG,564.77,8
3303401,Nova Friburgo,RJ,563.89,9
4205407,Florianópolis,SC,561.67,10
3148905,Pedra do Indaiá,MG,561.39,11
3136702,Juiz de Fora,MG,559.7,12
3205309,Vitória,ES,559.33,13
3303955,Pinheiral,RJ,559.01,14
4300703,Anta Gorda,RS,558.54,15
4313086,Nova Pádua,RS,557.47,16
4320230,Sede Nova,RS,557.38,17
3162807,São João Evangelista,MG,556.71,18
3501905,Amparo,SP,555.81,19
4316733,Santa Cecília do Sul,RS,555.3,20
3106200,Belo Horizonte,MG,554.73,21
3162500,São João del Rei,MG,554.3,22
3145901,Ouro Branco,MG,553.95,23
3549904,São José dos Campos,SP,553.77,24
3168705,Timóteo,MG,553.71,25
4322806,Veranópolis,RS,553.57,26
3167301,Silveirânia,MG,553.53,27
3548807,São Caetano do Sul,SP,553.49,28
3132909,Itamogi,MG,553.09,29
3304557,Rio de Janeiro,RJ,553.03,30
3145703,Oliveira Fortes,MG,552.77,31
3549805,São José do Rio Preto,SP,552.75,32
4310009,Ibirubá,RS,552.4,33
3539004,Pirangi,SP,552.09,34
3130606,Inconfidentes,MG,551.58,35
3302403,Macaé,RJ,551.55,36
4310801,Ivoti,RS,551.5,37
3543402,Ribeirão Preto,SP,551.25,38
3204609,Santa Teresa,ES,551.05,39
4210035,Luzerna,SC,550.76,40
3306305,Volta Redonda,RJ,550.65,41
3556701,Vinhedo,SP,550.62,42
3549102,São João da Boa Vista,SP,550.61,43
3144102,Muzambinho,MG,550.49,44
4305207,Cerro Largo,RS,550.14,45
3505302,Barra Bonita,SP,549.94,46
4311403,Lajeado,RS,549.66,47
3507506,Botucatu,SP,549.63,48
4316907,Santa Maria,RS,549.46,49
4301008,Arroio do Meio,RS,549.43,50
3138203,Lavras,MG,549.3,51
3170701,Varginha,MG,549.21,52
4302105,Bento Gonçalves,RS,548.93,53
3163706,São Lourenço,MG,548.91,54
4313102,Nova Palma,RS,548.51,55
3515152,Engenheiro Coelho,SP,548.38,56
4305934,Coronel Pilar,RS,548.1,57
3122306,Divinópolis,MG,547.57,58
2404705,Ipanguaçu,RN,547.47,59
3137908,Lamim,MG,547.27,60
3549706,São José do Rio Pardo,SP,547.18,61
3152501,Pouso Alegre,MG,546.98,62
4106902,Curitiba,PR,546.9,63
3300704,Cabo Frio,RJ,546.85,64
3100203,Abaeté,MG,546.81,65
4321204,Taquara,RS,546.63,66
3151701,Poço Fundo,MG,546.57,67
3525904,Jundiaí,SP,546.49,68
3522604,Itapira,SP,546.35,69
4316956,Santa Maria do Herval,RS,545.92,70
3205069,Venda Nova do Imigrante,ES,545.88,71
3202454,Ibatiba,ES,545.79,72
3548906,São Carlos,SP,545.67,73
3102605,Andradas,MG,545.63,74
4209102,Joinville,SC,545.54,75
4313201,Nova Petrópolis,RS,545.44,76
3518404,Guaratinguetá,SP,545.42,77
3101300,Alagoa,MG,545.34,78
3131307,Ipatinga,MG,545.14,79
3539301,Pirassununga,SP,544.84,80
3170206,Uberlândia,MG,544.64,81
3143609,Morro da Garça,MG,544.47,82
3123858,Entre Folhas,MG,544.44,83
4314902,Porto Alegre,RS,544.37,84
3136207,João Monlevade,MG,544.27,85
4313466,Novo Xingu,RS,544.22,86
3150901,Piranguçu,MG,544.19,87
3155801,Rio Pomba,MG,544.1,88
3148004,Patos de Minas,MG,544.05,89
3151800,Poços de Caldas,MG,544.05,90
3519055,Holambra,SP,544.02,91
5208707,Goiânia,GO,544.01,92
2800308,Aracaju,SE,543.99,93
4201307,Araquari,SC,543.86,94
3526902,Limeira,SP,543.79,95
3503208,Araraquara,SP,543.66,96
3501608,Americana,SP,543.49,97
4204608,Criciúma,SC,543.32,98
3132404,Itajubá,MG,543.3,99
4319307,São Paulo das Missões,RS,543.12,100
3533502,Novo Horizonte,SP,543.05,101
4306452,Dois Lajeados,RS,542.96,102
3159209,Santa Rita de Caldas,MG,542.89,103
3511102,Catanduva,SP,542.71,104
3133808,Itaúna,MG,542.65,105
4115200,Maringá,PR,542.64,106
3518206,Guararapes,SP,542.63,107
4202404,Blumenau,SC,542.61,108
3548500,Santos,SP,542.59,109
3304201,Resende,RJ,542.29,110
4313409,Novo Hamburgo,RS,541.98,111
3154200,Resende Costa,MG,541.86,112
3303906,Petrópolis,RJ,541.52,113
3555307,Turmalina,SP,541.44,114
5205406,Ceres,GO,541.38,115
4306759,Doutor Ricardo,RS,541.34,116
3300506,Bom Jardim,RJ,541.28,117
3302106,Itaocara,RJ,540.79,118
3138401,Leopoldina,MG,540.6,119
4305108,Caxias do Sul,RS,540.52,120
4111605,Ivatuba,PR,540.38,121
3540705,Porto Ferreira,SP,540.34,122
3509502,Campinas,SP,540.29,123
4109757,Ibema,PR,540.23,124
3305802,Teresópolis,RJ,540.09,125
4311791,Maratá,RS,539.87,126
3104007,Araxá,MG,539.78,127
4320503,Sertão,RS,539.76,128
3105103,Bambuí,MG,539.75,129
3525300,Jaú,SP,539.64,130
3530805,Moji Mirim,SP,539.47,131
4314803,Portão,RS,539.35,132
3147303,Paraisópolis,MG,539.2,133
3144805,Nova Lima,MG,539.18,134
3165008,São Tiago,MG,538.75,135
3547502,Santa Rita do Passa Quatro,SP,538.74,136
3109907,Caetanópolis,MG,538.65,137
3543907,Rio Claro,SP,538.63,138
4320909,Tapejara,RS,538.62,139
3301009,Campos dos Goytacazes,RJ,538.6,140
4213203,Pomerode,SC,538.57,141
2611606,Recife,PE,538.53,142
4318051,São Domingos do Sul,RS,538.44,143
4113700,Londrina,PR,538.4,144
4209003,Joaçaba,SC,538.28,145
4307807,Estrela,RS,538.24,146
4113908,Mallet,PR,538.19,147
4310207,Ijuí,RS,538.1,148
4208906,Jaraguá do Sul,SC,538.02,149
3168804,Tiradentes,MG,537.73,150
3123007,Dores de Campos,MG,537.72,151
3538709,Piracicaba,SP,537.69,152
4300307,Alecrim,RS,537.69,153
3169901,Ubá,MG,537.63,154
4316808,Santa Cruz do Sul,RS,537.48,155
4322251,Tupandi,RS,537.48,156
4304309,Cândido Godói,RS,537.46,157
4317806,Santo Augusto,RS,537.4,158
3162906,São João Nepomuceno,MG,537.33,159
3557105,Votuporanga,SP,537.27,160
4300570,Alto Feliz,RS,537.26,161
4210506,Maravilha,SC,537.25,162
4218707,Tubarão,SC,537.19,163
3137502,Lagoa Formosa,MG,537.14,164
3520442,Ilha Solteira,SP,537.08,165
3172004,Visconde do Rio Branco,MG,536.92,166
4313011,Nova Candelária,RS,536.9,167
4322707,Vera Cruz,RS,536.89,168
3502804,Araçatuba,SP,536.89,169
3167202,Sete Lagoas,MG,536.88,170
3547809,Santo André,SP,536.87,171
3144607,Nepomuceno,MG,536.85,172
4320107,Sarandi,RS,536.85,173
4312385,Monte Belo do Sul,RS,536.84,174
3300308,Barra do Piraí,RJ,536.83,175
3513702,Descalvado,SP,536.76,176
3529005,Marília,SP,536.68,177
3524303,Jaboticabal,SP,536.67,178
3523909,Itu,SP,536.65,179
3104304,Areado,MG,536.63,180
3550407,São Pedro,SP,536.59,181
2403251,Parnamirim,RN,536.38,182
4313508,Osório,RS,536.37,183
3203346,Marechal Floriano,ES,536.36,184
2802908,Itabaiana,SE,536.35,185
3201506,Colatina,ES,536.35,186
3115300,Cataguases,MG,536.32,187
4308102,Feliz,RS,536.29,188
3506003,Bauru,SP,536.22,189
3159605,Santa Rita do Sapucaí,MG,536.2,190
