CO_ESCOLA,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,SG_UF_ESC,MED,rank,NO_ESCOLA
98022636,2924009,PAULO AFONSO,BA,784.6,1,NA
23219394,2312908,SOBRAL,CE,753.26,2,CLODOVEU DE ARRUDA CENTRO SOCIAL
33062633,3304557,RIO DE JANEIRO,RJ,742.21,3,COL DE SAO BENTO
31351725,3106200,BELO HORIZONTE,MG,741.48,4,COLEGUIUM
29191050,2927408,SALVADOR,BA,738.14,5,ESCOLA MUNICIPAL PADRE JOSE DE ANCHIETA
31350664,3106200,BELO HORIZONTE,MG,735.83,6,COLEGIO BERNOULLI
35399197,3550308,SAO PAULO,SP,734.76,7,OBJETIVO COLEGIO INTEGRADO
22025740,2211001,TERESINA,PI,727.69,8,INSTITUTO DOM BARRETO
35186600,3505807,BASTOS,SP,725.86,9,SAO JOSE DE BASTOS ESCOLA
35141240,3550308,SAO PAULO,SP,722.94,10,VERTICE COLEGIO UNIDADE II
31004812,3106200,BELO HORIZONTE,MG,722.8,11,COLEGIO SANTO ANTONIO
23064927,2304400,FORTALEZA,CE,718.42,12,ESCOLA MUNICIPAL PROFESSORA ALDACI BARBOSA
31128074,3171303,VICOSA,MG,718.08,13,COL DE APLICACAO DA UFV - COLUNI
31004651,3106200,BELO HORIZONTE,MG,717.8,14,COLEGIO SANTO AGOSTINHO
35106446,3550308,SAO PAULO,SP,716.9,15,MOBILE ESCOLA PRATICA EST ELEMENTARES
35165347,3550308,SAO PAULO,SP,716.26,16,MOBILE COLEGIO
33143390,3304557,RIO DE JANEIRO,RJ,715.48,17,COLEGIO E CURSO PONTO DE ENSINO
31333921,3144805,NOVA LIMA,MG,713.59,18,COLEGIO SANTO AGOSTINHO UNIDADE NOVA LIMA
15037711,1501402,BELEM,PA,713.18,19,CENTRO DE ESTUDOS IPIRANGA
33062609,3304557,RIO DE JANEIRO,RJ,712.6,20,COLEGIO CRUZEIRO-CENTRO
33162328,3303302,NITEROI,RJ,712.44,21,ESCOLA LA SALLE RIO DE JANEIRO
31349720,3131307,IPATINGA,MG,708.98,22,FIBONACCI COLEGIO
31004731,3106200,BELO HORIZONTE,MG,708.55,23,COLEGIO MAGNUM AGOSTINIANO - NOVA FLORESTA
