CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,SG_UF_ESC,MED,rank
3556206,Valinhos,SP,573.81,1
3171303,Viçosa,MG,570.73,2
3303401,Nova Friburgo,RJ,564.1,3
3126000,Florestal,MG,563.48,4
3303302,Niterói,RJ,561.35,5
4215653,Santa Rosa do Sul,SC,559.83,6
3105608,Barbacena,MG,559.79,7
3205069,Venda Nova do Imigrante,ES,559.06,8
4205407,Florianópolis,SC,558.54,9
2202729,Cocal dos Alves,PI,558.43,10
3144805,Nova Lima,MG,557.98,11
4308102,Feliz,RS,557.11,12
3303955,Pinheiral,RJ,556.31,13
3163706,São Lourenço,MG,556.27,14
4318432,São João do Polêsine,RS,556.08,15
4310751,Ivorá,RS,555.73,16
3145901,Ouro Branco,MG,554.84,17
3136702,Juiz de Fora,MG,554.37,18
3106200,Belo Horizonte,MG,553.8,19
3165701,Senador Firmino,MG,553.69,20
3501905,Amparo,SP,553.12,21
4106902,Curitiba,PR,552.86,22
3133808,Itaúna,MG,552.47,23
3162807,São João Evangelista,MG,552.39,24
4314548,Pinto Bandeira,RS,552.22,25
4323200,Victor Graeff,RS,551.47,26
4315800,Roca Sales,RS,551.18,27
3110400,Camacho,MG,551.18,28
2404705,Ipanguaçu,RN,550.82,29
3147303,Paraisópolis,MG,550.63,30
3132206,Itaguara,MG,550.53,31
3168705,Timóteo,MG,550.43,32
3162500,São João del Rei,MG,550.24,33
3205309,Vitória,ES,550.08,34
3539301,Pirassununga,SP,550.07,35
3518404,Guaratinguetá,SP,549.65,36
4313425,Novo Machado,RS,549.15,37
3549805,São José do Rio Preto,SP,548.97,38
4115200,Maringá,PR,548.96,39
4305207,Cerro Largo,RS,548.64,40
3170701,Varginha,MG,548.49,41
4304309,Cândido Godói,RS,548.4,42
3548807,São Caetano do Sul,SP,548.31,43
4300307,Alecrim,RS,547.43,44
4316907,Santa Maria,RS,547.37,45
4322806,Veranópolis,RS,547,46
3549706,São José do Rio Pardo,SP,546.93,47
4306551,Dom Pedro de Alcântara,RS,546.5,48
4322855,Vespasiano Correa,RS,546.46,49
3549003,São Francisco,SP,546.14,50
3543402,Ribeirão Preto,SP,545.98,51
4307807,Estrela,RS,545.86,52
3507506,Botucatu,SP,545.57,53
3528858,Marapoama,SP,545.43,54
3133105,Itanhandu,MG,545.39,55
3525904,Jundiaí,SP,545.13,56
3152501,Pouso Alegre,MG,545.03,57
4322707,Vera Cruz,RS,544.83,58
3522604,Itapira,SP,544.64,59
3103108,Antônio Prado de Minas,MG,544.56,60
4206900,Ibirama,SC,544.53,61
3548906,São Carlos,SP,544.43,62
3549904,São José dos Campos,SP,544.28,63
3138401,Leopoldina,MG,544.1,64
4302105,Bento Gonçalves,RS,544.07,65
4113700,Londrina,PR,544.02,66
3156304,Rodeiro,MG,544.02,67
4321329,Taquaruçu do Sul,RS,543.96,68
3549102,São João da Boa Vista,SP,543.86,69
4322251,Tupandi,RS,543.72,70
3151800,Poços de Caldas,MG,543.69,71
2931509,Teofilândia,BA,543.64,72
3169901,Ubá,MG,543.56,73
3118007,Congonhas,MG,543.34,74
4209003,Joaçaba,SC,543.26,75
3543907,Rio Claro,SP,543.23,76
