CO_ESCOLA,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,SG_UF_ESC,MED,rank,NO_ESCOLA
29342880,2910800,Feira de Santana,BA,695.85,71,COLEGIO HELYOS
31007196,3106200,Belo Horizonte,MG,695.4,72,COLEGIO SANTA DOROTEIA
26118165,2611606,Recife,PE,694.92,73,COLEGIO EQUIPE
52076229,5201108,Anápolis,GO,694.39,74,COLEGIO DELTA - ANAPOLIS
31074373,3136702,Juiz de Fora,MG,694.26,75,COLEGIO SANTA CATARINA
35124199,3550308,São Paulo,SP,693.6,76,ALBERT SABIN COLEGIO
31184331,3169901,Ubá,MG,693.09,77,COLEGIO SAGRADO CORACAO DE MARIA
35108145,3518800,Guarulhos,SP,692.75,78,MATER AMABILIS COLEGIO
33158240,3304557,Rio de Janeiro,RJ,691.72,79,COLEGIO PH
22141693,2211001,Teresina,PI,691.53,80,CENTRO EDUCACIONAL OBJETIVO LTDA
52099946,5208707,Goiânia,GO,691.51,81,COLEGIO PROTAGORAS BUENO
35112513,3509502,Campinas,SP,691.24,82,PROGRESSO CAMPINEIRO COLEGIO
33104220,3304557,Rio de Janeiro,RJ,690.92,83,RECANTO INF IMACULADA CONCEICAO
24069191,2408102,Natal,RN,690.52,84,CENTRO DE EDUCACAO INTEGRADA LTDA - ROMUALDO
35170331,3548906,São Carlos,SP,689.76,85,SAO CARLOS INSTITUTO EDUCACAO DE ENSINO FUNDAMENTAL E MEDIO
35141586,3552205,Sorocaba,SP,689.75,86,UIRAPURU COLEGIO
23272430,2304400,Fortaleza,CE,689.32,87,ARI DE SA CAVALCANTE SEDE ALDEOTA COLEGIO
35287600,3552809,Taboão da Serra,SP,689.11,88,COLEGIO ANGLO LEONARDO DA VINCI
23076208,2304400,Fortaleza,CE,688.93,89,PROVECTO COLEGIO
35195005,3505708,Barueri,SP,688.83,90,COLEGIO ANGLO LEONARDO DA VINCI
35301279,3510609,Carapicuíba,SP,688.09,91,COLEGIO ANGLO LEONARDO DA VINCI
35104985,3550308,São Paulo,SP,687.71,92,BANDEIRANTES COLEGIO EFM
35159177,3513009,Cotia,SP,687.63,93,SIDARTA COLEGIO
33110034,3304557,Rio de Janeiro,RJ,687.58,94,CENTRO EDUCACIONAL ESPACO INTEGRADO
35286187,3556206,Valinhos,SP,687.13,95,ETAPA COLEGIO
41128249,4106902,Curitiba,PR,686.89,96,UNIVERSIDADE TECNOLOGICA FEDERAL DO PR
31193216,3131307,Ipatinga,MG,686.69,97,ESCOLA EDUCACAO CRIATIVA
35136931,3550308,São Paulo,SP,686.64,98,AGOSTINIANO MENDEL COLEGIO
33149780,3304557,Rio de Janeiro,RJ,686.63,99,SISTEMA ELITE DE ENSINO
33228604,3304557,Rio de Janeiro,RJ,686.38,100,COLEGIO DE A A Z
53013085,5300108,Brasília,DF,686.38,101,COL PODION
23246871,2304400,Fortaleza,CE,686.16,102,ARI DE SA CAVALCANTE SEDE MARIO MAMEDE COLEGIO
23246839,2304400,Fortaleza,CE,685.79,103,MASTER SUL COLEGIO
33447225,3304557,Rio de Janeiro,RJ,685.37,104,COLEGIO DE A A Z
31006394,3106200,Belo Horizonte,MG,685.12,105,COLEGIO MARISTA DOM SILVERIO
31342998,3169307,Três Corações,MG,684.67,106,COLEGIO UNIAO DE ENSINO INFANTIL FUNDAMENTAL E MEDIO - COOPEC TC
35104620,3550308,São Paulo,SP,683.93,107,SANTA CRUZ COLEGIO
50025759,5002704,Campo Grande,MS,683.83,108,EEIEFM GENERAL OSORIO
22164219,2211001,Teresina,PI,683.54,109,ESCOLA POPULAR MADRE MARIA VILLAC
35120601,3548807,São Caetano do Sul,SP,683.53,110,COLEGIO ARBOS UNIDADE MARECHAL DEODORO
35140995,3554102,Taubaté,SP,683.32,111,OBJETIVO JUNIOR COLEGIO
33105405,3304557,Rio de Janeiro,RJ,683.19,112,COLEGIO PH
35139497,3550308,São Paulo,SP,682.76,113,PENTAGONO COLEGIO UNIDADE CAIUBI
35438315,3550308,São Paulo,SP,681.98,114,GERMINARE ESCOLA
50027956,5002704,Campo Grande,MS,681.87,115,COLEGIO HARMONIA
33064369,3304557,Rio de Janeiro,RJ,681.83,116,INST DE TECNOLOGIA ORT
31245976,3162500,São João del Rei,MG,681.45,117,CENTRO EDUCACIONAL FREI SERAFICO
31358428,3106200,Belo Horizonte,MG,681.44,118,COLEGUIUM - UNIDADE ALIPIO DE MELO
33063311,3304557,Rio de Janeiro,RJ,681.26,119,COL ANDREWS
52089550,5208707,Goiânia,GO,681,120,COLEGIO VISAO
35135288,3534401,Osasco,SP,680.98,121,COLEGIO ANGLO LEONARDO DA VINCI
26142929,2610905,Pesqueira,PE,680.94,122,EDUCANDARIO IMACULADA CONCEICAO
33064040,3304557,Rio de Janeiro,RJ,680.87,123,ESCOLA ISRAELITA BRASILEIRA ELIEZER STEINBARG MAX NORDAU
35175572,3549904,São José dos Campos,SP,680.83,124,POLIEDRO COLEGIO
33148384,3304557,Rio de Janeiro,RJ,680.65,125,ESCOLA BRITANICA THE BRITISH SCHOOL RIO DE JANEIRO BARRA
31005614,3106200,Belo Horizonte,MG,680.49,126,COLEGIO SANTA MARIA CORACAO EUCARISTICO
24069582,2408102,Natal,RN,679.98,127,CENTRO DE EDUCACAO INTEGRADA LTDA - FILIAL
33065411,3304557,Rio de Janeiro,RJ,679.87,128,COL TERESIANO
33153450,3303302,Niterói,RJ,679.81,129,COLEGIO PH
33085897,3304557,Rio de Janeiro,RJ,679.64,130,ESC MODELAR CAMBAUBA
31254363,3168705,Timóteo,MG,679.47,131,ESCOLA BATISTA DE ACESITA
31006157,3106200,Belo Horizonte,MG,679.4,132,COLEGIO LOGOSOFICO GONZALEZ PECOTCHE
33124124,3304557,Rio de Janeiro,RJ,679.37,133,CENTRO INTERNACIONAL DE EDUCACAO INTEGRADA
33064032,3304557,Rio de Janeiro,RJ,679.28,134,ESCOLA ALEMA CORCOVADO - EXPERIMENTAL
50030590,5003702,Dourados,MS,678.67,135,COLEGIO LUMIERE
31061999,3132404,Itajubá,MG,678.67,136,COL XIX DE MARCO
33021660,3303401,Nova Friburgo,RJ,678.19,137,COLEGIO ANCHIETA
50032895,5003702,Dourados,MS,677.68,138,COLEGIO ANGLO UNIGRAN - UNIDADE II
32040032,3205309,Vitória,ES,677.66,139,CE LEONARDO DA VINCI
29181771,2927408,Salvador,BA,677.6,140,COLEGIO ANCHIETA
25117963,2504009,Campina Grande,PB,677.58,141,CENTRO CAMPINENSE DE EDUCACAO LTDA COLEGIO MOTIVA
33063419,3304557,Rio de Janeiro,RJ,677.56,142,COL FRANCO BRASILEIRO
31334049,3167202,Sete Lagoas,MG,677.51,143,COLEGIO CAETANO DE EDUCACAO INFANTIL ENSINO FUNDAMENTAL ANOS INICIAIS E FINAIS E ENSINO MEDIO
33142726,3304557,Rio de Janeiro,RJ,677.39,144,COL ISRAELITA BRAS A LIESSIN SCHOLEM ALEICHEM
33148376,3304557,Rio de Janeiro,RJ,677.23,145,ESCOLA PARQUE - BARRA
32041209,3205309,Vitória,ES,677.18,146,IFES - CAMPUS VITORIA
26124238,2611606,Recife,PE,677.16,147,COLEGIO ATUAL
33055866,3303302,Niterói,RJ,676.99,148,COL MARILIA MATTOSO
31105899,3131703,Itabira,MG,676.42,149,COLEGIO COMERCIAL ITABIRANO
35446725,3534401,Osasco,SP,676.36,150,COLEGIO ANGLO LEONARDO DA VINCI UNIDADE II
33036667,3300100,Angra dos Reis,RJ,676.31,151,COLEGIO NAVAL
52086615,5208707,Goiânia,GO,675.94,152,COLEGIO JAO LTDA
33065837,3304557,Rio de Janeiro,RJ,675.84,153,ESCOLA PARQUE
35140338,3550308,São Paulo,SP,675.45,154,MAGNO COLEGIO
42129575,4204608,Criciúma,SC,675.36,155,CENTRO EDUCACIONAL ENERGIA SC LTDA
