CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,SG_UF_ESC,MED,rank
3547205,SANTANA DA PONTE PENSA,SP,568.87,1
3556206,VALINHOS,SP,567.22,2
3519055,HOLAMBRA,SP,563.73,3
3171303,VICOSA,MG,562.74,4
3303401,NOVA FRIBURGO,RJ,560.56,5
4205407,FLORIANOPOLIS,SC,560.48,6
3303302,NITEROI,RJ,560.17,7
3136702,JUIZ DE FORA,MG,555.96,8
3556958,VITORIA BRASIL,SP,555.86,9
3126000,FLORESTAL,MG,554.51,10
4320305,SELBACH,RS,553.91,11
4300802,ANTONIO PRADO,RS,551.71,12
3536901,PEDRANOPOLIS,SP,551.66,13
4209458,LAJEADO GRANDE,SC,550.81,14
3149408,PEDRO TEIXEIRA,MG,549.39,15
3147303,PARAISOPOLIS,MG,549.06,16
3106200,BELO HORIZONTE,MG,548.68,17
3170701,VARGINHA,MG,547.81,18
3105608,BARBACENA,MG,547.71,19
3103108,ANTONIO PRADO DE MINAS,MG,547.38,20
4318432,SAO JOAO DO POLESINE,RS,545.78,21
3549300,SAO JOAO DO PAU D ALHO,SP,545.44,22
3205309,VITORIA,ES,545.35,23
3168705,TIMOTEO,MG,545.21,24
3501905,AMPARO,SP,544.69,25
4215653,SANTA ROSA DO SUL,SC,544.26,26
4316758,SANTA CLARA DO SUL,RS,543.92,27
3549904,SAO JOSE DOS CAMPOS,SP,543.45,28
3539301,PIRASSUNUNGA,SP,542.9,29
4316907,SANTA MARIA,RS,542.85,30
4308003,FAXINAL DO SOTURNO,RS,542.59,31
3548807,SAO CAETANO DO SUL,SP,542.56,32
3162500,SAO JOAO DEL REI,MG,542.43,33
3152501,POUSO ALEGRE,MG,542.42,34
3169901,UBA,MG,542.31,35
3111200,CAMPO BELO,MG,541.77,36
3549805,SAO JOSE DO RIO PRETO,SP,541.71,37
3136207,JOAO MONLEVADE,MG,541.18,38
3205069,VENDA NOVA DO IMIGRANTE,ES,540.69,39
3518404,GUARATINGUETA,SP,540.25,40
4322806,VERANOPOLIS,RS,540.12,41
3166600,SERRA DA SAUDADE,MG,539.92,42
3151800,POCOS DE CALDAS,MG,539.83,43
4314902,PORTO ALEGRE,RS,539.59,44
3118007,CONGONHAS,MG,539.57,45
3161205,SAO FRANCISCO DE PAULA,MG,539.27,46
3525904,JUNDIAI,SP,539.17,47
3130309,IGUATAMA,MG,539.11,48
3154903,RIO CASCA,MG,539.07,49
3168804,TIRADENTES,MG,539.05,50
4106902,CURITIBA,PR,539.03,51
4315800,ROCA SALES,RS,539.03,52
3304557,RIO DE JANEIRO,RJ,538.88,53
3306305,VOLTA REDONDA,RJ,538.85,54
3163706,SAO LOURENCO,MG,538.82,55
3543402,RIBEIRAO PRETO,SP,538.7,56
4316477,SALVADOR DAS MISSOES,RS,538.38,57
3104304,AREADO,MG,538.35,58
4208005,ITA,SC,537.98,59
3512308,CONCHAS,SP,537.93,60
3302403,MACAE,RJ,537.91,61
3156452,ROSARIO DA LIMEIRA,MG,537.69,62
3549003,SAO FRANCISCO,SP,537.67,63
3128501,GUARARA,MG,537.53,64
3132404,ITAJUBA,MG,537.51,65
4302204,BOA VISTA DO BURICA,RS,537.15,66
4311403,LAJEADO,RS,537.03,67
3509502,CAMPINAS,SP,537.01,68
3535200,PALMEIRA D OESTE,SP,536.89,69
3145901,OURO BRANCO,MG,536.84,70
3170206,UBERLANDIA,MG,536.68,71
3166006,SENHORA DE OLIVEIRA,MG,536.51,72
3548906,SAO CARLOS,SP,536.37,73
3144805,NOVA LIMA,MG,536,74
4317756,SANTO ANTONIO DO PLANALTO,RS,535.9,75
3170107,UBERABA,MG,535.7,76
3511102,CATANDUVA,SP,535.67,77
4209003,JOACABA,SC,535.49,78
3151701,POCO FUNDO,MG,535.39,79
3138203,LAVRAS,MG,535.37,80
3550407,SAO PEDRO,SP,535.37,81
4303707,CAMPINA DAS MISSOES,RS,535.24,82
4305306,CHAPADA,RS,535.17,83
3526902,LIMEIRA,SP,535.09,84
3549102,SAO JOAO DA BOA VISTA,SP,535.05,85
4120309,PORTO VITORIA,PR,534.98,86
4302105,BENTO GONCALVES,RS,534.88,87
3538709,PIRACICABA,SP,534.71,88
3507506,BOTUCATU,SP,534.61,89
3121902,DIVINESIA,MG,534.5,90
3133808,ITAUNA,MG,534.43,91
3148004,PATOS DE MINAS,MG,534,92
3301504,CORDEIRO,RJ,533.81,93
3109600,CACHOEIRA DA PRATA,MG,533.77,94
3131703,ITABIRA,MG,533.45,95
3122306,DIVINOPOLIS,MG,533.36,96
3166402,SERITINGA,MG,533.36,97
3556701,VINHEDO,SP,533.35,98
3503703,ARIRANHA,SP,533.31,99
3306008,TRES RIOS,RJ,533.3,100
4308201,FLORES DA CUNHA,RS,533.23,101
3513702,DESCALVADO,SP,533.18,102
3172004,VISCONDE DO RIO BRANCO,MG,533.12,103
4321204,TAQUARA,RS,533.11,104
4310363,IMIGRANTE,RS,532.96,105
4318051,SAO DOMINGOS DO SUL,RS,532.94,106
3523404,ITATIBA,SP,532.93,107
3100203,ABAETE,MG,532.86,108
4201703,ASCURRA,SC,532.83,109
4310801,IVOTI,RS,532.82,110
3137809,LAMBARI,MG,532.67,111
3503208,ARARAQUARA,SP,532.64,112
4315354,QUINZE DE NOVEMBRO,RS,532.59,113
3104403,ARGIRITA,MG,532.54,114
3543907,RIO CLARO,SP,532.53,115
4309100,GRAMADO,RS,532.48,116
3159605,SANTA RITA DO SAPUCAI,MG,532.46,117
3138401,LEOPOLDINA,MG,532.3,118
3515400,FARTURA,SP,532.19,119
4309050,GLORINHA,RS,532.15,120
3104007,ARAXA,MG,532.14,121
2202729,COCAL DOS ALVES,PI,531.97,122
3303955,PINHEIRAL,RJ,531.62,123
3549706,SAO JOSE DO RIO PARDO,SP,531.47,124
3548500,SANTOS,SP,531.4,125
4201208,ANTONIO CARLOS,SC,531.35,126
3132206,ITAGUARA,MG,531.34,127
3504107,ATIBAIA,SP,531.3,128
4322558,VANINI,RS,531.3,129
3146107,OURO PRETO,MG,531.16,130
4216602,SAO JOSE,SC,531.08,131
4319125,SAO MARTINHO DA SERRA,RS,531,132
3501806,AMERICO DE CAMPOS,SP,530.92,133
4308078,FAZENDA VILANOVA,RS,530.92,134
4322301,TUPARENDI,RS,530.86,135
3527207,LORENA,SP,530.79,136
3165701,SENADOR FIRMINO,MG,530.72,137
4305108,CAXIAS DO SUL,RS,530.69,138
4307864,FAGUNDES VARELA,RS,530.64,139
4313201,NOVA PETROPOLIS,RS,530.49,140
5208707,GOIANIA,GO,530.42,141
3505203,BARIRI,SP,530.42,142
3501608,AMERICANA,SP,530.05,143
3546405,SANTA CRUZ DO RIO PARDO,SP,530,144
4301008,ARROIO DO MEIO,RS,529.86,145
3105103,BAMBUI,MG,529.77,146
4218707,TUBARAO,SC,529.73,147
3532603,NHANDEARA,SP,529.72,148
3524303,JABOTICABAL,SP,529.69,149
3143401,MONTE SIAO,MG,529.48,150
4320404,SERAFINA CORREA,RS,529.31,151
4312450,MORRO REDONDO,RS,529.27,152
3500105,ADAMANTINA,SP,529.24,153
3155801,RIO POMBA,MG,529.18,154
3303906,PETROPOLIS,RJ,529.17,155
3300506,BOM JARDIM,RJ,529.17,156
4313409,NOVO HAMBURGO,RS,529.16,157
4202404,BLUMENAU,SC,529.16,158
4300307,ALECRIM,RS,529.07,159
4115200,MARINGA,PR,528.87,160
3502804,ARACATUBA,SP,528.74,161
4209102,JOINVILLE,SC,528.73,162
4314803,PORTAO,RS,528.65,163
4107538,ENTRE RIOS DO OESTE,PR,528.6,164
3131307,IPATINGA,MG,528.5,165
3126109,FORMIGA,MG,528.47,166
4311270,LAGOA DOS TRES CANTOS,RS,528.3,167
3306206,VASSOURAS,RJ,528.28,168
3104205,ARCOS,MG,528.28,169
3300704,CABO FRIO,RJ,528.23,170
