CO_ESCOLA,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,SG_UF_ESC,MED,rank,NO_ESCOLA
32078455,3205309,Vitória,ES,779.8,1,SEB SISTEMA EDUCACIONAL BRASILEIRO LTDA
15221024,1500107,Abaetetuba,PA,779.56,2,ESCOLA VESTIBULANDO KIDS
35142554,3548500,Santos,SP,772.88,3,JEAN PIAGET COLEGIO UNIDADE I
23246847,2304400,Fortaleza,CE,767.76,4,FARIAS BRITO COLEGIO DE APLICACAO
35399197,3550308,São Paulo,SP,757.62,5,OBJETIVO COLEGIO INTEGRADO
22025740,2211001,Teresina,PI,754.66,6,INSTITUTO DOM BARRETO
23272473,2304400,Fortaleza,CE,752.9,7,FARIAS BRITO SEIS BOCAS COLEGIO
35481919,3506003,Bauru,SP,751.02,8,NOVO ANGLO BAURU
35143340,3523909,Itu,SP,750.42,9,COLEGIO SISTEMA E CARACOL
31349720,3131307,Ipatinga,MG,748.78,10,FIBONACCI COLEGIO
23235543,2304400,Fortaleza,CE,748.74,11,ARI DE SA CAVALCANTE COLEGIO - MAJOR FACUNDO
31350664,3106200,Belo Horizonte,MG,748.49,12,COLEGIO BERNOULLI
15167275,1501402,Belém,PA,747.57,13,SISTEMA DE ENSINO EQUIPE INTEGRADO EIRELI - EPP
33062633,3304557,Rio de Janeiro,RJ,746.77,14,COL DE SAO BENTO
31351725,3106200,Belo Horizonte,MG,746.76,15,COLEGUIUM
31370185,3136207,João Monlevade,MG,746.72,16,NA
31128074,3171303,Viçosa,MG,744.77,17,COL DE APLICACAO DA UFV - COLUNI
29467764,2927408,Salvador,BA,743.83,18,COLEGIO BERNOULLI
31311723,3106200,Belo Horizonte,MG,743.71,19,COLEGIO BERNOULLI - UNIDADE GONCALVES DIAS
35141240,3550308,São Paulo,SP,743.57,20,VERTICE COLEGIO UNIDADE II
23246871,2304400,Fortaleza,CE,742.54,21,ARI DE SA CAVALCANTE SEDE MARIO MAMEDE COLEGIO
31004031,3106200,Belo Horizonte,MG,741.75,22,COLEGIO SANTA MARCELINA
33040516,3303906,Petrópolis,RJ,740.46,23,COLEGIO IPIRANGA
50032895,5003702,Dourados,MS,740.25,24,COLEGIO ANGLO UNIGRAN - UNIDADE II
42130875,4204202,Chapecó,SC,739.24,25,CEI NOVO MUNDO INTERACAO
22129529,2211001,Teresina,PI,739.06,26,CEV COLEGIO UNIDADE JOCKEY
35106446,3550308,São Paulo,SP,738.1,27,MOBILE ESCOLA PRATICA EST ELEMENTARES
35137406,3550308,São Paulo,SP,736.12,28,VERTICE COLEGIO UNIDADE I
23272333,2304400,Fortaleza,CE,735.06,29,FARIAS BRITO COLEGIO PRE-VESTIBULAR CENTRAL
33057206,3303302,Niterói,RJ,734.81,30,INSTITUTO GAYLUSSAC - ENS FUNDAMENTAL E MEDIO
31004812,3106200,Belo Horizonte,MG,734.32,31,COLEGIO SANTO ANTONIO
35142621,3502804,Araçatuba,SP,733.62,32,DEGRAU COLEGIO ESCOLA INFANTIL E DE 1 GRAU
42330289,4205407,Florianópolis,SC,733.46,33,ESCOLA AUTONOMIA-COLEGIO ITACORUBI
22023658,2211001,Teresina,PI,732.55,34,EDUCANDARIO SANTA MARIA GORETTI
43208118,4316808,Santa Cruz do Sul,RS,732.4,35,CENTRO DE EDUCACAO PROFISSIONAL DA UNISC - CEPRU
35290804,3543402,Ribeirão Preto,SP,731.61,36,SEB COC UNIDADE ALVARES CABRAL
22022481,2211001,Teresina,PI,731.49,37,ANBEAS - COLEGIO SAGRADO CORACAO DE JESUS
25125931,2507507,João Pessoa,PB,731.3,38,NA
29437261,2910800,Feira de Santana,BA,730.55,39,COLEGIO ACESSO
35165347,3550308,São Paulo,SP,730.48,40,MOBILE COLEGIO
31004651,3106200,Belo Horizonte,MG,730.21,41,COLEGIO SANTO AGOSTINHO
33087679,3304557,Rio de Janeiro,RJ,729.95,42,COLEGIO SANTO AGOSTINHO - NL
33135371,3304557,Rio de Janeiro,RJ,729.74,43,COLEGIO CRUZEIRO - JACAREPAGUA
32040032,3205309,Vitória,ES,729.26,44,CE LEONARDO DA VINCI
24097004,2408102,Natal,RN,728.63,45,COLEGIO CIENCIAS APLICADAS
33165920,3303302,Niterói,RJ,727.43,46,COLEGIO E CURSO PONTO DE ENSINO
33065403,3304557,Rio de Janeiro,RJ,727.25,47,COLEGIO SANTO AGOSTINHO
52068986,5208707,Goiânia,GO,727.08,48,COLEGIO WR
29342880,2910800,Feira de Santana,BA,726.59,49,COLEGIO HELYOS
26124297,2611606,Recife,PE,726.49,50,COLEGIO DE APLICACAO DO CE DA UFPE
35126974,3530607,Mogi das Cruzes,SP,726.23,51,OBJETIVO INTEGRADO DE MOGI DAS CRUZES COLEGIO
33139954,3303302,Niterói,RJ,726.23,52,ASSOCIACAO EDUCACIONAL SOARES ALMEIDA SC
32040040,3205309,Vitória,ES,726.18,53,CE PRIMEIRO MUNDO
23564121,2304400,Fortaleza,CE,725.64,54,ANTARES COLEGIO PRE VESTIBULAR
33055866,3303302,Niterói,RJ,725.4,55,COL MARILIA MATTOSO
33145237,3303401,Nova Friburgo,RJ,725.15,56,COLEGIO SAO JOAO BATISTA NOVA FRIBURGO
33064040,3304557,Rio de Janeiro,RJ,724.95,57,ESCOLA ISRAELITA BRASILEIRA ELIEZER STEINBARG MAX NORDAU
35581409,3517406,Guaíra,SP,724.92,58,CENTRO EDUCACIONAL ANA LELIS SANTANA UNID IV
35173186,3547809,Santo André,SP,724.8,59,LICEU JARDIM
31245810,3172004,Visconde do Rio Branco,MG,724.78,60,COLEGIO LOSANGO
26125765,2611606,Recife,PE,724.64,61,CENTRO ESCOLAR CAROCHINHA
35463279,3550308,São Paulo,SP,724,62,VITAL BRAZIL COLEGIO
32040075,3205309,Vitória,ES,723.84,63,COLEGIO SAGRADO CORACAO DE MARIA
33176825,3304557,Rio de Janeiro,RJ,723.48,64,COLEGIO SANTO AGOSTINHO - UNIDADE INSTITUTO CULTURAL SANTO AGOSTINHO
31004731,3106200,Belo Horizonte,MG,722.39,65,COLEGIO MAGNUM AGOSTINIANO - NOVA FLORESTA
26139839,2611606,Recife,PE,722.3,66,BASE COLEGIO E CURSO
31333921,3144805,Nova Lima,MG,720.36,67,COLEGIO SANTO AGOSTINHO UNIDADE NOVA LIMA
52096785,5208707,Goiânia,GO,720.24,68,COLEGIO OLIMPO INTEGRAL
53013085,5300108,Brasília,DF,720.14,69,COL PODION
23246880,2304400,Fortaleza,CE,719.88,70,CHRISTUS COLEGIO PRE UNIVERSITARIO
22164219,2211001,Teresina,PI,719.76,71,ESCOLA POPULAR MADRE MARIA VILLAC
35154775,3548807,São Caetano do Sul,SP,719.64,72,VILLARE COLEGIO
35457334,3523909,Itu,SP,719.59,73,BRANTA DE EDUCACAO INSTITTUTO
50031783,5002704,Campo Grande,MS,718.68,74,INSTITUICAO DE ENSINO GENERAL OSORIO
41004167,4100509,Altônia,PR,718.54,75,BOSCO DE ALTONIA C D EI EF M
35163259,3550308,São Paulo,SP,718.14,76,MARIA CONCEICAO IMACULADA COLEGIO FUNDAMENTAL
22025715,2211001,Teresina,PI,717.97,77,COLEGIO OBJETIVO S-S
33157316,3304557,Rio de Janeiro,RJ,717.89,78,COLEGIO CURSO PONTO DE ENSINO
35135288,3534401,Osasco,SP,716.75,79,COLEGIO ANGLO LEONARDO DA VINCI
23245573,2304400,Fortaleza,CE,716.18,80,MASTER COLEGIO
35301279,3510609,Carapicuíba,SP,715.92,81,COLEGIO ANGLO LEONARDO DA VINCI
33104220,3304557,Rio de Janeiro,RJ,715.83,82,RECANTO INF IMACULADA CONCEICAO
31193216,3131307,Ipatinga,MG,715.76,83,ESCOLA EDUCACAO CRIATIVA
41065310,4114609,Marechal Cândido Rondon,PR,715.72,84,COLEGIO CRISTO REI
22025766,2211001,Teresina,PI,714.94,85,INSTITUTO EDUCACIONAL DA CRIANCA - INEC
35579403,3509502,Campinas,SP,714.83,86,COLEGIO ELITECOL
53056000,5300108,Brasília,DF,714.79,87,COL OLIMPO
22022406,2211001,Teresina,PI,714.59,88,COLEGIO LEROTE LTDA
15035719,1501303,Barcarena,PA,714.12,89,INSTITUTO DE EDUCACAO BASICA CRISTO REI
26534711,2611606,Recife,PE,714.1,90,COLEGIO COGNITIVO
52097676,5208707,Goiânia,GO,714.08,91,COLEGIO SIMBIOS
33064369,3304557,Rio de Janeiro,RJ,714.06,92,INST DE TECNOLOGIA ORT
53015789,5300108,Brasília,DF,714.01,93,COL OLIMPO DE AGUAS CLARAS
50033239,5002704,Campo Grande,MS,713.84,94,COLEGIO CLASSE A UNIDADE II
31260908,3167202,Sete Lagoas,MG,713.67,95,COL IMPULSO
33058164,3303500,Nova Iguaçu,RJ,713.6,96,CENTRO EDUCACIONAL LOGOS
17055890,1721000,Palmas,TO,713.52,97,COLEGIO OLIMPO PALMAS INTEGRAL
29195055,2927408,Salvador,BA,713.22,98,ESCOLA PAN AMERICANA DA BAHIA
33062609,3304557,Rio de Janeiro,RJ,712.72,99,COLEGIO CRUZEIRO-CENTRO
23264098,2305506,Iguatu,CE,712.54,100,POLOS JUNIOR COLEGIO
32041152,3205309,Vitória,ES,712.46,101,ESCOLA SAO DOMINGOS
31205265,3138203,Lavras,MG,711.99,102,INST PRESBITERIANO GAMMON
33064628,3304557,Rio de Janeiro,RJ,711.76,103,COL BARILAN
35136050,3525904,Jundiaí,SP,711.14,104,LEONARDO DA VINCI COLEGIO DE ENSINO FUNDAMENTAL E MEDIO
31302848,3108909,Brazópolis,MG,711.1,105,COL IMACULADA CONCEICAO
33063729,3304557,Rio de Janeiro,RJ,710.57,106,COLEGIO SANTO INACIO
35563006,3550308,São Paulo,SP,710.47,107,ETAPA III COLEGIO
35103421,3550308,São Paulo,SP,710.46,108,LICEU DE ARTES E OFICIOS DE SAO PAULO ESCOLA TECNICA
33140863,3304557,Rio de Janeiro,RJ,710.44,109,COLEGIO ISRAELITA BRASILEIRO A LIESSIN SCHOLEM ALEICHEM
35808179,3548906,São Carlos,SP,710.38,110,INTERATIVO CURSO E COLEGIO UNIDADE II
33381208,3304557,Rio de Janeiro,RJ,709.98,111,COLEGIO E CURSO PONTO DE ENSINO
35805555,3549904,São José dos Campos,SP,709.92,112,EMBRAER JUAREZ WANDERLEY COLEGIO
31018724,3105608,Barbacena,MG,709.9,113,SESI CENTRO DE ATIVIDADES OSCAR MAGALHAES FERREIRA
33135827,3304557,Rio de Janeiro,RJ,709.75,114,COLEGIO E CURSO PONTO DE ENSINO
35286187,3556206,Valinhos,SP,709.52,115,ETAPA COLEGIO
33161291,3304557,Rio de Janeiro,RJ,708.89,116,CEMP ENSINO MEDIO LTDA
33099324,3302106,Itaocara,RJ,708.8,117,SOCIEDADE EDUCACIONAL CONSTRUTIVISTA DE ITAOCARA LTDA
35139497,3550308,São Paulo,SP,708.43,118,PENTAGONO COLEGIO UNIDADE CAIUBI
31318426,3170206,Uberlândia,MG,708.37,119,COLEGIO OLIMPO
31006157,3106200,Belo Horizonte,MG,708.33,120,COLEGIO LOGOSOFICO GONZALEZ PECOTCHE
35156954,3550308,São Paulo,SP,707.98,121,JARDIM SAO PAULO COLEGIO UNIDADE CANTAREIRA
33160163,3303302,Niterói,RJ,707.78,122,GERACAO FORUM CULTURAL LTDA
26118165,2611606,Recife,PE,707.7,123,COLEGIO EQUIPE
35136931,3550308,São Paulo,SP,707.4,124,AGOSTINIANO MENDEL COLEGIO
31006238,3106200,Belo Horizonte,MG,707.15,125,COLEGIO LOYOLA
35449003,3543402,Ribeirão Preto,SP,706.8,126,FAAP RIBEIRAO PRETO COLEGIO
23272430,2304400,Fortaleza,CE,706.53,127,ARI DE SA CAVALCANTE SEDE ALDEOTA COLEGIO
33085897,3304557,Rio de Janeiro,RJ,706.27,128,ESC MODELAR CAMBAUBA
50018000,5005400,Maracaju,MS,706.12,129,ESCOLA PAROQUIAL NOSSA SRA APARECIDA
24350303,2408102,Natal,RN,706.05,130,CENTRO DE EDUCACAO INTEGRADA MAIS LTDA
31342122,3145208,Nova Serrana,MG,705.12,131,INSTITUTO EDUCACIONAL SABER
23084456,2309607,Pacajus,CE,704.9,132,NUNES MORAES COLEGIO DE ENSINO FUNDAMENTAL E MEDIO
43092020,4313300,Nova Prata,RS,704.88,133,COLEGIO NOSSA SENHORA APARECIDA
52089550,5208707,Goiânia,GO,704.66,134,COLEGIO VISAO
35195005,3505708,Barueri,SP,704.44,135,COLEGIO ANGLO LEONARDO DA VINCI
33154970,3304557,Rio de Janeiro,RJ,704.3,136,COLEGIO E CURSO PONTO DE ENSINO
17055024,1721000,Palmas,TO,703.25,137,COLEGIO OLIMPO UNIDADE II
29422248,2927408,Salvador,BA,703.24,138,COLEGIO ANGLO BRASILEIRO
33063419,3304557,Rio de Janeiro,RJ,703.22,139,COL FRANCO BRASILEIRO
50032100,5002704,Campo Grande,MS,703.2,140,COLEGIO BIONATUS II
27034445,2704302,Maceió,AL,703.14,141,COLEGIO MARIA MONTESSORI
31014061,3118601,Contagem,MG,703.09,142,COLEGIO SANTO AGOSTINHO-UNIDADE CONTAGEM
35134387,3509502,Campinas,SP,702.9,143,ANGLO CAMPINAS UNIDADE CASTELO COLEGIO
50027956,5002704,Campo Grande,MS,702.49,144,COLEGIO HARMONIA
31331163,3101607,Alfenas,MG,701.96,145,COLEGIO ATENAS UNID II
52103161,5208707,Goiânia,GO,701.94,146,NA
35133115,3518800,Guarulhos,SP,701.86,147,T PARTHENON COLEGIO UNIDADE I
31004278,3106200,Belo Horizonte,MG,701.26,148,ESTA - ESCOLA STO TOMAS DE AQUINO
35140065,3549904,São José dos Campos,SP,701.13,149,INSTITUTO EDUCACIONAL IGUATEMY ESCOLA DE EI EF E EM
33322201,3304557,Rio de Janeiro,RJ,700.94,150,ESCOLA SESC DE ENSINO MEDIO
35159104,3505203,Bariri,SP,700.69,151,COOPERATIVA EDUCACIONAL DE BARIRI COEBA CENTRO DE ED BASICA
33148376,3304557,Rio de Janeiro,RJ,700.62,152,ESCOLA PARQUE - BARRA
43172423,4314902,Porto Alegre,RS,700.35,153,COLEGIO LEONARDO DA VINCI-ALFA
31105899,3131703,Itabira,MG,700.16,154,COLEGIO COMERCIAL ITABIRANO
42020530,4209102,Joinville,SC,700.13,155,ASSOCIACAO EDUCACIONAL LUTERANA BOM JESUS-IELUSC
33142726,3304557,Rio de Janeiro,RJ,700.11,156,COL ISRAELITA BRAS A LIESSIN SCHOLEM ALEICHEM
43082564,4311403,Lajeado,RS,699.94,157,COLEGIO EVANGELICO ALBERTO TORRES
31074373,3136702,Juiz de Fora,MG,699.88,158,COLEGIO SANTA CATARINA
33173990,3304557,Rio de Janeiro,RJ,699.82,159,COLEGIO DE A A Z
31217123,3106200,Belo Horizonte,MG,699.72,160,COLEGUIUM - ENSINO FUNDAMENTAL E MEDIO
52126200,5208707,Goiânia,GO,699.52,161,COLEGIO INTEGRADO DE EDUCACAO MODERNA
35140995,3554102,Taubaté,SP,699.36,162,OBJETIVO JUNIOR COLEGIO
31354848,3138203,Lavras,MG,699.18,163,COLEGIO LOSANGO DE LAVRAS
35004269,3509502,Campinas,SP,699.09,164,NA
33153450,3303302,Niterói,RJ,699.03,165,COLEGIO PH
35125222,3507605,Bragança Paulista,SP,698.83,166,CIDADE DE BRAGANCA PTA COLEGIO
23076208,2304400,Fortaleza,CE,698.8,167,PROVECTO COLEGIO
23077557,2304400,Fortaleza,CE,698.71,168,7 DE SETEMBRO COLEGIO - EBS
33098557,3300308,Barra do Piraí,RJ,698.35,169,CENTRO DE ESTUDOS INTEGRADOS
