CO_ESCOLA,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,SG_UF_ESC,MED,rank,NO_ESCOLA
23246847,2304400,Fortaleza,CE,768.15,1,FARIAS BRITO COLEGIO DE APLICACAO
35399197,3550308,São Paulo,SP,755.2,2,OBJETIVO COLEGIO INTEGRADO
15167275,1501402,Belém,PA,754.19,3,SISTEMA DE ENSINO EQUIPE INTEGRADO EIRELI - EPP
31350664,3106200,Belo Horizonte,MG,753.18,4,COLEGIO BERNOULLI
23246871,2304400,Fortaleza,CE,753.03,5,ARI DE SA CAVALCANTE SEDE MARIO MAMEDE COLEGIO
22025740,2211001,Teresina,PI,752.56,6,INSTITUTO DOM BARRETO
23235543,2304400,Fortaleza,CE,748.54,7,ARI DE SA CAVALCANTE COLEGIO - MAJOR FACUNDO
31259462,3162500,São João del Rei,MG,743.36,8,SENAI SAO JOAO DEL REI CFP SILVIO ASSUNCAO TEIXEIRA
31349720,3131307,Ipatinga,MG,741.7,9,FIBONACCI COLEGIO
23246880,2304400,Fortaleza,CE,740.08,10,CHRISTUS COLEGIO PRE UNIVERSITARIO
31351725,3106200,Belo Horizonte,MG,738.52,11,COLEGUIUM
31004812,3106200,Belo Horizonte,MG,738.08,12,COLEGIO SANTO ANTONIO
22022406,2211001,Teresina,PI,737.83,13,COLEGIO LEROTE LTDA
31311723,3106200,Belo Horizonte,MG,735.99,14,COLEGIO BERNOULLI - UNIDADE GONCALVES DIAS
33062633,3304557,Rio de Janeiro,RJ,729.56,15,COL DE SAO BENTO
35165347,3550308,São Paulo,SP,728.98,16,MOBILE COLEGIO
23246839,2304400,Fortaleza,CE,727.97,17,MASTER SUL COLEGIO
35141240,3550308,São Paulo,SP,725.6,18,VERTICE COLEGIO UNIDADE II
17055890,1721000,Palmas,TO,724.71,19,COLEGIO OLIMPO PALMAS INTEGRAL
35371531,3549904,São José dos Campos,SP,724.44,20,ESCOLA DE TECNOLOGIA E EDUCACAO PROFISSIONAL - ETEP
31004731,3106200,Belo Horizonte,MG,724.2,21,COLEGIO MAGNUM AGOSTINIANO - NOVA FLORESTA
31004651,3106200,Belo Horizonte,MG,724.15,22,COLEGIO SANTO AGOSTINHO
29342880,2910800,Feira de Santana,BA,723.64,23,COLEGIO HELYOS
23272333,2304400,Fortaleza,CE,722.83,24,FARIAS BRITO COLEGIO PRE-VESTIBULAR CENTRAL
31128074,3171303,Viçosa,MG,721.96,25,COL DE APLICACAO DA UFV - COLUNI
24097004,2408102,Natal,RN,721.95,26,COLEGIO CIENCIAS APLICADAS
52068986,5208707,Goiânia,GO,720.88,27,COLEGIO WR
29437261,2910800,Feira de Santana,BA,720.81,28,COLEGIO ACESSO
31351407,3170701,Varginha,MG,719.54,29,ESCOLA MARISTA CHAMPAGNAT DE VARGINHA
23564121,2304400,Fortaleza,CE,719.15,30,ANTARES COLEGIO PRE VESTIBULAR
31004031,3106200,Belo Horizonte,MG,718.56,31,COLEGIO SANTA MARCELINA
26124297,2611606,Recife,PE,718.25,32,COLEGIO DE APLICACAO DO CE DA UFPE
31213918,3139003,Machado,MG,717.98,33,COLEGIO APLICACAO
33065403,3304557,Rio de Janeiro,RJ,717.16,34,COLEGIO SANTO AGOSTINHO
33040516,3303906,Petrópolis,RJ,716.62,35,COLEGIO IPIRANGA
53056000,5300108,Brasília,DF,716.06,36,COL OLIMPO
33057206,3303302,Niterói,RJ,715.81,37,INSTITUTO GAYLUSSAC - ENS FUNDAMENTAL E MEDIO
22025715,2211001,Teresina,PI,714.21,38,COLEGIO OBJETIVO S-S
33161291,3304557,Rio de Janeiro,RJ,713.82,39,CEMP ENSINO MEDIO LTDA
53013085,5300108,Brasília,DF,713.38,40,COL PODION
33055866,3303302,Niterói,RJ,713.34,41,COL MARILIA MATTOSO
22129529,2211001,Teresina,PI,713.11,42,CEV COLEGIO UNIDADE JOCKEY
52098982,5201108,Anápolis,GO,713,43,COLEGIO OLIMPO
53015789,5300108,Brasília,DF,711.92,44,COL OLIMPO DE AGUAS CLARAS
35805555,3549904,São José dos Campos,SP,711.72,45,EMBRAER JUAREZ WANDERLEY COLEGIO
33145237,3303401,Nova Friburgo,RJ,711.61,46,COLEGIO SAO JOAO BATISTA NOVA FRIBURGO
28020057,2800308,Aracaju,SE,711.01,47,NOSSA ESCOLA II LTDA
33087679,3304557,Rio de Janeiro,RJ,710.53,48,COLEGIO SANTO AGOSTINHO - NL
35290804,3543402,Ribeirão Preto,SP,710.44,49,SEB COC UNIDADE ALVARES CABRAL
33062609,3304557,Rio de Janeiro,RJ,710.1,50,COLEGIO CRUZEIRO-CENTRO
33135371,3304557,Rio de Janeiro,RJ,709.84,51,COLEGIO CRUZEIRO - JACAREPAGUA
33135827,3304557,Rio de Janeiro,RJ,709.29,52,COLEGIO E CURSO PONTO DE ENSINO
26534711,2611606,Recife,PE,709.22,53,COLEGIO COGNITIVO
35154775,3548807,São Caetano do Sul,SP,709.14,54,VILLARE COLEGIO
23334266,2304400,Fortaleza,CE,708.6,55,FARIAS BRITO PRE VESTIBULAR ALDEOTA
53016831,5300108,Brasília,DF,708.56,56,LYCCEE FRANCAIS FRANCOIS MITTERRAND
23084456,2309607,Pacajus,CE,707.94,57,NUNES MORAES COLEGIO DE ENSINO FUNDAMENTAL E MEDIO
